"Date","Price","Open","High","Low","Change %"
"Apr 29, 2013","151.300","151.120","151.300","151.120","0.08%"
"Apr 26, 2013","151.175","151.050","151.195","151.040","0.08%"
"Apr 25, 2013","151.055","151.080","151.105","150.900","-0.03%"
"Apr 24, 2013","151.095","151.180","151.205","150.950","-0.01%"
"Apr 23, 2013","151.115","151.200","151.225","150.860","-0.08%"
"Apr 22, 2013","151.230","151.070","151.230","151.070","0.06%"
"Apr 19, 2013","151.135","151.040","151.155","151.030","0.13%"
"Apr 18, 2013","150.945","150.960","151.075","150.900","-0.05%"
"Apr 17, 2013","151.020","151.090","151.160","150.820","-0.09%"
"Apr 16, 2013","151.150","151.010","151.160","150.920","0.04%"
"Apr 15, 2013","151.085","150.890","151.095","150.790","0.08%"
"Apr 12, 2013","150.960","150.960","151.030","150.790","-0.05%"
"Apr 11, 2013","151.040","150.920","151.060","150.660","0.03%"
"Apr 10, 2013","151.000","150.920","151.060","150.880","0.00%"
"Apr 09, 2013","150.995","150.940","151.045","150.850","-0.02%"
"Apr 08, 2013","151.020","150.910","151.040","150.770","0.03%"
"Apr 05, 2013","150.970","150.880","151.030","150.780","0.01%"
"Apr 04, 2013","150.955","150.870","150.975","150.770","0.01%"
"Apr 03, 2013","150.945","150.790","150.965","150.630","0.06%"
"Apr 02, 2013","150.850","150.900","150.990","150.700","-0.08%"
"Apr 01, 2013","150.975","150.900","151.015","150.750","0.03%"
"Mar 29, 2013","150.930","150.870","150.930","150.770","-0.01%"
"Mar 28, 2013","150.940","150.840","150.970","150.690","0.02%"
"Mar 27, 2013","150.915","150.760","150.985","150.500","0.05%"
"Mar 26, 2013","150.835","150.840","150.955","150.600","-0.08%"
"Mar 25, 2013","150.960","150.850","150.960","150.850","0.00%"
"Mar 22, 2013","150.960","150.850","150.960","150.850","0.00%"
"Mar 21, 2013","150.960","150.850","150.960","150.850","0.02%"
"Mar 20, 2013","150.925","150.850","151.005","150.730","0.01%"
"Mar 19, 2013","150.905","150.710","150.985","150.600","0.08%"
"Mar 18, 2013","150.785","150.630","150.805","150.510","0.05%"
"Mar 15, 2013","150.705","150.810","150.925","150.630","-0.12%"
"Mar 14, 2013","150.885","150.870","150.955","150.700","-0.04%"
"Mar 13, 2013","150.940","150.840","150.970","150.780","0.01%"
"Mar 12, 2013","150.920","150.730","150.920","150.700","0.08%"
"Mar 11, 2013","150.805","150.780","150.895","150.650","-0.03%"
"Mar 08, 2013","150.855","150.790","150.865","150.780","-0.01%"
"Mar 07, 2013","150.870","150.700","150.900","150.670","0.06%"
"Mar 06, 2013","150.780","150.680","150.810","150.630","0.01%"
"Mar 05, 2013","150.765","150.790","150.875","150.640","-0.02%"
"Mar 04, 2013","150.795","150.600","150.805","150.600","0.09%"
"Mar 01, 2013","150.665","150.400","150.725","150.400","0.15%"
"Feb 28, 2013","150.435","150.420","150.575","150.300","-0.03%"
"Feb 27, 2013","150.475","150.400","150.495","150.370","0.00%"
"Feb 26, 2013","150.470","150.260","150.470","150.150","0.08%"
"Feb 25, 2013","150.345","150.230","150.345","150.200","0.08%"
"Feb 22, 2013","150.225","150.200","150.295","150.150","-0.04%"
"Feb 21, 2013","150.280","150.380","150.510","150.200","-0.11%"
"Feb 20, 2013","150.450","150.500","150.580","150.350","-0.05%"
"Feb 19, 2013","150.530","150.520","150.550","150.450","-0.04%"
"Feb 18, 2013","150.595","150.450","150.595","150.350","0.06%"
"Feb 15, 2013","150.500","150.500","150.600","150.400","-0.02%"
"Feb 14, 2013","150.530","150.450","150.530","150.450","0.03%"
"Feb 13, 2013","150.490","150.430","150.490","150.430","0.03%"
"Feb 12, 2013","150.445","150.550","150.575","150.400","-0.12%"
"Feb 11, 2013","150.620","150.540","150.620","150.540","0.04%"
"Feb 08, 2013","150.555","150.450","150.595","150.420","0.03%"
"Feb 07, 2013","150.505","150.470","150.545","150.450","0.00%"
"Feb 06, 2013","150.500","150.550","150.580","150.400","-0.06%"
"Feb 05, 2013","150.595","150.650","150.695","150.530","-0.05%"
"Feb 04, 2013","150.675","150.840","150.895","150.650","-0.16%"
"Feb 01, 2013","150.910","150.870","150.920","150.800","0.02%"
"Jan 31, 2013","150.885","150.820","150.895","150.750","0.00%"
"Jan 30, 2013","150.880","150.800","150.900","150.800","0.01%"
"Jan 29, 2013","150.860","150.690","150.870","150.690","0.14%"
"Jan 28, 2013","150.650","150.860","150.890","150.600","-0.03%"
"Jan 25, 2013","150.695","150.780","150.805","150.580","-0.03%"
"Jan 24, 2013","150.745","150.800","150.825","150.670","-0.07%"
"Jan 23, 2013","150.845","150.870","150.895","150.750","0.01%"
"Jan 22, 2013","150.825","150.880","150.905","150.600","0.02%"
"Jan 21, 2013","150.795","150.670","150.925","150.600","0.04%"
"Jan 18, 2013","150.735","150.760","150.935","150.590","-0.07%"
"Jan 17, 2013","150.845","150.810","150.985","150.680","-0.03%"
"Jan 16, 2013","150.895","150.770","151.065","150.490","0.03%"
"Jan 15, 2013","150.850","150.890","151.060","150.750","-0.09%"
"Jan 14, 2013","150.990","150.950","151.100","150.850","0.01%"
"Jan 11, 2013","150.980","150.910","151.020","150.750","-0.01%"
"Jan 10, 2013","151.000","150.550","151.000","150.540","0.10%"
"Jan 09, 2013","150.845","150.600","150.845","150.600","0.13%"
"Jan 08, 2013","150.645","150.670","150.775","150.550","-0.11%"
"Jan 07, 2013","150.810","150.730","150.810","150.730","0.00%"
"Jan 04, 2013","150.810","150.600","150.810","150.450","0.09%"
"Jan 03, 2013","150.680","150.380","150.770","150.200","0.15%"
"Jan 02, 2013","150.455","150.380","150.455","150.380","0.01%"
"Jan 01, 2013","150.440","150.330","150.440","150.330","0.00%"
"Dec 31, 2012","150.440","150.330","150.440","150.330","0.02%"
"Dec 28, 2012","150.410","150.400","150.530","150.190","-0.03%"
"Dec 27, 2012","150.460","150.200","150.620","150.200","0.05%"
"Dec 26, 2012","150.390","150.420","150.560","150.300","-0.06%"
"Dec 25, 2012","150.480","150.490","150.530","150.310","-0.04%"
"Dec 24, 2012","150.545","150.200","150.575","150.200","0.13%"
"Dec 21, 2012","150.345","150.600","150.625","150.200","-0.07%"
"Dec 20, 2012","150.445","150.620","150.745","150.300","-0.13%"
"Dec 19, 2012","150.635","150.700","150.825","150.500","-0.08%"
"Dec 18, 2012","150.755","150.730","150.755","150.730","0.00%"
"Dec 17, 2012","150.755","150.730","150.755","150.730","0.00%"
"Dec 14, 2012","150.755","150.550","150.755","150.550","0.11%"
"Dec 13, 2012","150.595","150.300","150.595","150.300","0.01%"
"Dec 12, 2012","150.585","150.170","150.585","150.170","0.13%"
"Dec 11, 2012","150.395","150.180","150.425","150.180","0.07%"
"Dec 10, 2012","150.295","150.240","150.295","150.100","-0.01%"
"Dec 07, 2012","150.310","150.200","150.530","150.200","0.05%"
"Dec 06, 2012","150.235","150.350","150.515","150.170","-0.13%"
"Dec 05, 2012","150.430","150.520","150.600","150.370","-0.13%"
"Dec 04, 2012","150.630","150.450","150.740","150.400","0.02%"
"Dec 03, 2012","150.595","150.570","150.595","150.570","0.00%"
"Nov 30, 2012","150.595","150.440","150.625","150.400","0.09%"
"Nov 29, 2012","150.465","150.450","150.535","150.090","-0.04%"
"Nov 28, 2012","150.525","150.300","150.525","150.200","0.11%"
"Nov 27, 2012","150.365","150.050","150.365","149.950","0.16%"
"Nov 26, 2012","150.125","150.150","150.425","149.950","-0.03%"
"Nov 23, 2012","150.175","150.350","150.375","149.960","-0.03%"
"Nov 22, 2012","150.215","150.430","150.455","150.050","0.01%"
"Nov 21, 2012","150.195","150.250","150.475","150.150","-0.08%"
"Nov 20, 2012","150.315","150.380","150.525","150.100","-0.07%"
"Nov 19, 2012","150.420","150.440","150.760","150.300","-0.01%"
"Nov 16, 2012","150.435","150.200","150.505","150.200","0.04%"
"Nov 15, 2012","150.380","150.400","150.760","150.220","-0.03%"
"Nov 14, 2012","150.420","150.700","150.770","150.350","-0.26%"
"Nov 13, 2012","150.810","150.650","150.820","150.650","0.03%"
"Nov 12, 2012","150.770","150.800","150.900","150.730","-0.03%"
"Nov 09, 2012","150.810","150.800","150.840","150.600","-0.05%"
"Nov 08, 2012","150.885","150.750","150.885","150.700","0.03%"
"Nov 07, 2012","150.845","150.750","150.845","150.550","0.02%"
"Nov 06, 2012","150.815","150.850","150.905","150.720","-0.03%"
"Nov 05, 2012","150.855","150.750","150.895","150.750","-0.01%"
"Nov 02, 2012","150.865","150.780","150.865","150.710","0.03%"
"Nov 01, 2012","150.820","150.770","150.870","150.700","0.01%"
"Oct 31, 2012","150.805","150.680","150.805","150.630","0.08%"
"Oct 30, 2012","150.685","150.650","150.765","150.450","0.04%"
"Oct 29, 2012","150.625","150.430","150.695","150.430","0.03%"
"Oct 26, 2012","150.580","150.530","150.580","150.530","0.00%"
"Oct 25, 2012","150.580","150.600","150.710","150.530","-0.02%"
"Oct 24, 2012","150.610","150.660","150.750","150.500","-0.06%"
"Oct 23, 2012","150.705","150.750","150.825","150.500","0.01%"
"Oct 22, 2012","150.685","150.000","150.755","149.960","0.35%"
"Oct 19, 2012","150.165","150.250","150.275","149.930","0.05%"
"Oct 18, 2012","150.085","150.340","150.585","149.950","-0.23%"
"Oct 17, 2012","150.430","150.600","150.700","150.300","-0.12%"
"Oct 16, 2012","150.615","150.560","150.685","150.560","-0.04%"
"Oct 15, 2012","150.675","150.500","150.675","150.400","0.05%"
"Oct 12, 2012","150.595","150.460","150.595","150.350","0.09%"
"Oct 11, 2012","150.455","150.500","150.595","150.430","-0.07%"
"Oct 10, 2012","150.555","150.470","150.555","150.470","0.05%"
"Oct 09, 2012","150.475","150.200","150.485","150.200","0.06%"
"Oct 08, 2012","150.380","150.250","150.380","150.230","0.06%"
"Oct 05, 2012","150.295","150.240","150.295","150.240","0.00%"
"Oct 04, 2012","150.295","150.190","150.305","150.190","0.05%"
"Oct 03, 2012","150.215","150.150","150.225","150.130","0.03%"
"Oct 02, 2012","150.165","150.020","150.195","150.020","0.07%"
"Oct 01, 2012","150.065","149.870","150.065","149.800","0.11%"
"Sep 28, 2012","149.895","150.050","150.095","149.830","-0.09%"
"Sep 27, 2012","150.035","150.070","150.105","149.950","-0.05%"
"Sep 26, 2012","150.105","150.030","150.145","150.000","0.03%"
"Sep 25, 2012","150.055","150.100","150.145","149.980","0.01%"
"Sep 24, 2012","150.035","150.050","150.145","150.010","-0.04%"
"Sep 21, 2012","150.100","149.950","150.140","149.950","0.05%"
"Sep 20, 2012","150.020","149.850","150.040","149.680","0.07%"
"Sep 19, 2012","149.915","149.850","149.945","149.800","0.02%"
"Sep 18, 2012","149.880","149.730","150.040","149.620","0.09%"
"Sep 17, 2012","149.745","149.990","150.015","149.650","-0.15%"
"Sep 14, 2012","149.965","149.900","150.035","149.800","-0.02%"
"Sep 13, 2012","150.000","149.880","150.020","149.700","0.13%"
"Sep 12, 2012","149.805","149.790","149.905","149.630","0.06%"
"Sep 11, 2012","149.720","149.620","149.790","149.500","0.10%"
"Sep 10, 2012","149.575","149.600","149.645","149.420","-0.02%"
"Sep 07, 2012","149.600","149.550","149.600","149.350","0.10%"
